,0,1,2,3,4,5
0,0.755037251,0.04,0,0,1,1
1,0.791474099,0.04,0.694444444,0,1,0
2,0.706722187,0.04,0.694444444,0,1,0
3,0.757120367,0.04,0.694444444,0,1,0
4,1.043195212,0.04,0.694444444,0,1,0
5,0.755037251,0.04,0,0,1,1
6,0.580780725,0.04,0.694444444,0,1,0
7,0.557701757,0.04,0.694444444,0,1,0
8,0.852734572,0.04,0.694444444,0,1,0
9,1.723160251,0.255,0,0,-1,0
10,0.530053063,0.04,0,0,1,1
11,0.393231802,0.04,0.694444444,0,1,0
12,0.686917935,0.04,0.694444444,0,1,0
13,1.944230246,0.255,0,0,-1,0
14,1.944230246,0.255,0,0,-1,0
15,1.025636997,0.105,0,0,1,1
16,1.800189226,0.44,0,0,1,0
17,2.942809032,0.45,0,0,1,0
18,0.8575,0.05,0,0,1,0
19,0.880514764,0.05,0,0,1,0
20,1.87154515,0.64,0,0,1,1
21,2.986992635,0.65,0,0,1,0
22,0.880514764,0.05,0,0,1,0
23,0.8575,0.05,0,0,1,0
24,0.571647837,0.075,0,0,1,0
25,1.419128254,0.38,0,0,-1,1
26,0.689510696,0.38,0,0,-1,0
27,0.855296001,0.31,0,0,1,0
28,1.336347634,0.69,0,0,-1,0
29,1.360082718,0.155,0,0,-1,0
30,0.812049875,0.54,0,0,-1,1
31,0.956833972,0.31,0,0,1,0
32,1.338740079,0.69,0,0,-1,0
33,1.338740079,0.69,0,0,-1,0
34,1.669883978,0.19,0,0,-1,0
35,0.695,0.05,0.715976331,0,1,1
36,0.719200945,0.05,0.591715976,0,1,0
37,0.506371899,0.07,0.591715976,0,1,0
38,0.93758333,0.05,0.591715976,0,1,0
39,3.245797283,1.81,0,0,-1,0
40,1.550008064,0.05,0,0,1,1
41,1.216490855,0.05,0.418685121,0,1,0
42,1.556313754,0.985,0.840277778,0,-1,0
43,1.556313754,0.985,0.840277778,0,-1,0
44,1.671264491,0.05,0.418685121,0,1,0
45,1.175010638,0.05,0.498269896,0,1,1
46,1.794536848,1.295,0.715976331,0,-1,0
47,1.794536848,1.295,0.715976331,0,-1,0
48,1.581684229,0.05,0.418685121,0,1,0
49,1.671264491,0.05,0.418685121,0,1,0
50,1.550008064,0.05,0,0,1,1
51,1.581684229,0.05,0.418685121,0,1,0
52,1.024115472,0.07,0.418685121,0,1,0
53,2.58884144,0.75,0.591715976,0,-1,0
54,2.58884144,0.75,0.591715976,0,-1,0
55,1.550008064,0.05,0.498269896,0,1,1
56,0.890540566,0.07,0.498269896,0,1,0
57,3.516398193,2.32,0.390625,0,-1,0
58,3.516398193,2.32,0.390625,0,-1,0
59,3.516398193,2.32,0.390625,0,-1,0
60,0.202561719,0.055,0.604938272,0,-1,1
61,0.652519157,0.505,0.604938272,0,-1,0
62,1.154215101,0.925,0.49,0,1,0
63,2.422067815,1.23,0.25,0,-1,0
64,2.422067815,1.23,0.25,0,-1,0
65,0.202561719,0.055,0.604938272,0,-1,1
66,0.76351981,0.475,0.49,0,1,0
67,2.455150199,0.49,0.444444444,0,-1,0
68,2.455150199,0.49,0.444444444,0,-1,0
69,2.455150199,0.49,0.444444444,0,-1,0
70,1.04500299,0.1,0,0.707106781,1,1
